ZIP_CODE,EV_LEVEL_1,EV_LEVEL_2,EV_FAST,NETWORK_TYPE_ChargePoint,NETWORK_TYPE_Non-Networked,NETWORK_TYPE_Other-Network,TOTAL_HOUSEHOLDS,MEDIAN_INCOME,REG_COUNTS
07506,0,16,0,4,1,0,35590.0,488460.0,1680
07512,0,6,0,2,2,0,14380.0,422548.0,1116
07601,0,14,0,0,1,1,38160.0,140180.0,1140
07604,0,6,0,0,2,1,12672.0,284403.0,705
07621,0,1,0,0,1,0,8946.0,96335.0,392
07624,0,4,0,1,0,1,5556.0,280714.0,1104
07627,0,5,0,0,2,0,3360.0,309000.0,1032
07644,0,0,8,0,0,1,8805.0,66595.0,233
07645,0,8,0,4,0,0,11900.0,586832.0,297
07649,0,4,0,2,0,0,5576.0,264716.0,632
07650,0,2,0,0,0,1,7403.0,68245.0,359
07652,0,38,8,8,2,5,123480.0,1924590.0,22575
07656,0,6,0,3,0,0,9777.0,413649.0,750
07657,0,0,2,0,0,1,3827.0,71699.0,160
07660,0,4,0,0,0,1,4720.0,86923.0,181
