Zip_Code,Registrations,Total_Households,Median_Households_Estimate_Income,Type
54247,4,890,64808,Rural
54301,62,9199,59501,Urban
54302,53,12659,42454,Urban
54303,26,11913,41069,Urban
54304,31,12304,49704,Urban
54311,82,14130,66864,Urban
54313,107,14945,90598,Urban
54401,78,13127,53228,Urban
54403,31,10410,54612,Urban
54405,3,1147,50426,Rural
54406,10,1413,69671,Rural
54407,4,597,74097,Rural
54408,1,438,54808,Rural
54409,15,5687,48065,Rural
54412,1,841,61587,Rural
54414,10,1317,55594,Rural
54416,8,675,56083,Rural
54426,6,1642,65521,Rural
54437,11,1116,53286,Rural
54441,2,346,83333,Rural
54442,3,436,59722,Rural
54448,8,1726,74387,Rural
54449,85,11624,58716,Urban
54451,8,4979,54199,Rural
54452,33,8300,60070,Rural
54455,23,7273,76080,Urban
54456,3,2551,52175,Rural
54457,7,3647,54782,Rural
54459,3,546,50294,Rural
54466,8,1191,54575,Rural
54467,24,5793,61070,Urban
54469,2,730,55865,Rural
54471,2,678,81731,Rural
54473,2,1057,60197,Rural
54475,3,680,65625,Rural
54476,20,7644,65908,Urban
54481,65,11542,49435,Urban
54482,5,4240,72434,Rural
54484,5,1986,65063,Rural
54487,10,4426,60322,Rural
54488,1,467,48375,Rural
54490,1,347,53359,Rural
54494,28,11767,57329,Urban
54495,8,3356,44440,Urban
54499,3,1228,56471,Rural
54501,30,8443,54904,Rural
54511,4,536,53663,Rural
54521,23,3817,47639,Rural
54527,3,442,36953,Rural
54538,1,1522,35571,Rural
54548,4,2164,61793,Rural
54552,4,2156,44146,Rural
54554,2,508,42727,Rural
54555,2,2396,51127,Rural
54558,2,1041,45298,Rural
54562,20,925,54191,Rural
54601,169,20243,50181,Urban
54603,25,6449,49606,Urban
54612,9,1920,54531,Rural
54614,8,1087,66685,Rural
54615,15,4137,48549,Rural
54622,1,887,60688,Rural
54623,8,828,68846,Rural
54624,5,639,54911,Rural
54628,1,444,55357,Rural
54630,9,1744,61351,Rural
54632,1,469,59821,Rural
54634,3,1633,50078,Rural
54636,30,5171,81735,Urban
54639,15,1029,41875,Rural
54644,2,584,63548,Rural
54646,4,1680,51900,Rural
54650,109,10149,64768,Urban
54652,10,388,47500,Rural
54655,2,701,43589,Rural
54656,42,7069,59329,Rural
54658,7,1125,66875,Urban
54660,46,6552,57241,Rural
54661,6,1597,64316,Rural
54664,4,635,49934,Rural
54665,43,3604,45720,Rural
54667,9,1810,57222,Rural
54669,25,3077,71319,Urban
54701,125,16169,60154,Urban
54703,62,17485,58031,Urban
54720,8,3277,56839,Urban
54722,3,1390,60375,Rural
54723,2,500,67500,Rural
54724,26,3061,53818,Rural
54725,3,1188,56842,Rural
54727,8,2051,56793,Rural
54728,2,2583,56399,Rural
54729,55,13557,62245,Urban
54730,12,1972,68086,Rural
54732,9,1209,51985,Rural
54736,2,1700,54091,Rural
54738,12,1235,75688,Rural
54739,7,1890,78664,Rural
54742,8,1885,66972,Rural
54746,4,279,58250,Rural
54747,1,1036,55357,Rural
54748,12,512,51974,Rural
54751,23,9532,54539,Urban
54755,8,2996,56781,Rural
54757,3,1380,60305,Rural
54758,12,1891,64309,Rural
54759,4,659,55257,Rural
54762,2,500,53056,Rural
54763,4,463,55268,Rural
54767,10,1347,71645,Rural
54768,3,1683,50846,Rural
54801,1,3041,51380,Rural
54805,1,596,45682,Rural
54806,19,4852,45185,Rural
54810,8,1001,56927,Rural
54812,4,1943,49958,Rural
54814,10,1214,59145,Rural
54817,1,1006,55682,Rural
54819,1,1072,43790,Rural
54822,5,1877,56175,Rural
54824,5,977,58542,Rural
54837,5,1640,51167,Rural
54843,8,5418,51178,Rural
54847,6,1017,55972,Rural
54848,14,2581,46656,Rural
54849,5,802,67024,Rural
54853,2,1818,55946,Rural
54854,2,367,71458,Rural
54868,17,6830,52132,Rural
54870,3,718,61696,Rural
54871,1,1281,44792,Rural
54873,6,1434,55350,Rural
54880,23,13288,49842,Urban
54889,3,1134,52770,Rural
54891,10,1512,56146,Rural
54893,2,1783,50693,Rural
54901,42,13838,49612,Urban
54902,234,10148,52076,Urban
54904,49,8982,75722,Urban
54911,71,10340,52433,Urban
54913,112,8478,83627,Urban
54914,278,13096,56064,Urban
54915,97,17030,67162,Urban
54923,1,3854,55250,Rural
54929,8,3843,53005,Rural
54930,5,712,47125,Rural
54932,8,451,82344,Rural
54935,71,17567,54543,Urban
54937,22,7645,68268,Urban
54940,6,1789,76743,Rural
54941,1,1130,55069,Rural
54942,9,3749,102383,Urban
54944,26,3387,88307,Rural
54945,5,1569,55121,Rural
54947,9,1036,85250,Rural
54949,5,1412,60676,Rural
54950,3,1146,47768,Rural
54952,78,11490,59143,Urban
54956,73,18538,64329,Urban
54961,31,5845,59157,Rural
54963,14,2866,63750,Rural
54965,3,554,68421,Rural
54968,7,1247,47650,Rural
54970,1,1254,51324,Rural
54971,29,4500,57736,Rural
54981,54,6677,62796,Rural
54982,9,3012,51354,Rural
54983,2,1846,60263,Rural
54984,4,1363,52352,Rural
54986,11,2281,72326,Rural
